N,P,K,temperature,humidity,ph,rainfall,label
62,36,93,28.8761,77.4267,6.8321,213.7614,turmeric
19,70,16,21.5251,52.7042,5.2866,92.7187,pigeonpeas
122,21,58,24.7384,83.9754,5.4035,271.8117,tea
73,66,47,24.0678,56.207,7.3414,54.5808,sunflower
62,37,40,18.196,58.1811,7.1161,41.463,mustard
32,61,22,32.5356,69.902,7.0008,69.3953,blackgram
49,27,25,25.2314,53.2168,6.0411,57.0166,sesame
91,9,53,26.3948,84.5885,6.7704,46.0991,watermelon
24,10,5,18.2292,92.7931,7.84,109.3131,orange
25,11,13,27.7283,93.6215,6.054,110.0729,orange
63,52,64,21.3845,65.6582,6.7328,42.3551,garlic
28,135,191,33.5632,80.5905,5.9441,71.264,grapes
80,50,62,21.7389,66.7417,6.2033,56.7193,garlic
22,56,19,20.3175,62.2704,6.8087,54.347,lentil
104,19,34,24.1835,56.4447,6.4015,186.1288,coffee
88,59,67,20.3686,74.798,6.1861,78.3092,cauliflower
22,24,27,28.5752,94.3036,5.3273,178.4346,coconut
133,39,73,28.0382,62.3668,6.8452,169.3671,sugarcane
64,32,48,33.5945,82.7578,5.3664,252.8638,rubber
90,32,107,31.8169,73.1584,5.7483,217.4469,turmeric
27,56,52,26.6702,76.9977,6.2413,114.3587,soybeans
65,52,45,18.9572,59.9857,6.4576,74.6696,wheat
21,47,15,29.6479,89.8323,6.9438,41.2894,mungbean
82,69,48,24.8553,54.035,6.054,62.8069,sunflower
114,42,110,28.2981,60.1098,5.8833,98.1473,tobacco
29,44,38,24.6171,60.5282,6.4691,87.2565,groundnut
48,39,37,29.4016,55.4495,7.3928,45.0912,sorghum
60,41,63,13.5045,52.8248,7.4216,64.7868,barley
89,66,61,24.254,64.3896,6.1441,55.5838,onion
137,24,64,21.8862,85.1805,4.728,210.4662,tea
53,40,59,18.913,55.1515,7.4338,60.1921,barley
108,52,132,17.3715,81.2733,5.796,78.9337,potato
25,79,31,29.7199,65.9475,6.8969,113.8936,soybeans
92,81,45,25.0973,80.8221,5.7288,105.4432,banana
43,35,28,24.3158,62.9535,6.7599,51.5113,mustard
64,49,46,28.1744,80.996,5.612,243.326,rubber
80,43,73,28.9868,67.3728,6.981,56.7884,tomato
39,50,45,28.4414,69.1633,6.527,111.7726,soybeans
41,43,24,18.329,58.6708,6.7583,41.1709,mustard
57,48,49,19.707,56.0226,6.4177,46.9287,barley
16,31,29,31.9327,49.4173,5.435,93.5025,mango
39,60,20,29.3983,60.5804,6.729,69.0354,blackgram
93,44,101,23.6831,80.365,6.4199,195.5408,ginger
75,60,45,21.6976,50.1571,6.814,70.5253,wheat
18,56,38,22.8453,65.9033,6.3976,50.3156,groundnut
97,76,50,25.1567,80.4978,5.9106,109.0742,banana
49,42,29,22.3301,45.9235,7.8287,36.6201,cumin
33,38,35,21.3419,43.6358,7.2303,23.0784,cumin
112,23,61,19.3958,75.3377,6.4672,230.1364,cardamom
13,65,25,24.5314,63.1165,6.1176,175.0619,pigeonpeas
40,38,22,27.7067,55.0888,6.2041,35.173,millets
82,35,42,24.4272,70.4078,6.7821,203.9906,jute
84,35,59,27.9865,89.4476,4.6495,255.6321,rubber
44,36,24,23.1487,54.1709,7.3383,37.7087,cumin
74,36,35,22.9481,55.2424,5.7423,61.4993,maize
94,46,151,16.3159,79.6402,5.2727,89.8355,potato
49,33,24,27.2912,54.9904,6.4122,47.6055,sesame
27,8,5,24.5101,90.9938,7.1034,118.5908,orange
101,32,81,15.2534,84.9016,5.1145,226.4103,cardamom
17,128,194,23.7929,94.1213,6.1944,109.2774,apple
24,43,38,23.8999,65.4405,6.3832,55.5318,groundnut
51,54,79,15.3476,64.4281,6.3175,49.5171,garlic
25,57,25,22.9237,23.7119,5.8035,145.7889,kidneybeans
128,34,41,21.3743,89.1024,5.2339,296.409,tea
24,51,44,18.9144,61.773,6.0671,75.9092,peas
60,62,39,17.5154,67.5048,6.5744,73.9591,wheat
132,28,44,19.0221,76.504,4.6605,208.4496,tea
16,29,29,27.4973,54.6233,5.4076,95.2193,mango
77,57,69,12.4408,68.9795,6.0055,47.944,garlic
76,69,44,22.6574,58.7865,7.3802,58.6405,sunflower
60,35,45,17.3049,48.5321,6.0321,55.8105,barley
98,46,125,16.1736,84.3034,5.308,87.0364,potato
58,44,53,13.7009,54.6056,6.5787,65.8056,barley
30,55,77,15.4061,16.9354,5.7862,34.225,chickpeas
20,48,47,26.3549,59.8767,6.5552,89.7654,groundnut
22,47,25,28.015,83.9517,6.5003,40.8898,mungbean
91,41,70,23.581,61.6139,6.4889,62.9847,tomato
124,36,39,22.8052,83.3925,7.8986,64.502,cotton
28,127,198,23.9431,94.94,5.9674,120.5515,apple
123,45,68,30.7403,77.6758,7.0913,229.8233,sugarcane
140,23,61,29.8988,88.2629,4.562,222.1902,tea
120,47,140,21.5404,63.7007,5.5909,105.2939,tobacco
28,24,34,29.3713,96.7284,5.5831,226.6514,coconut
116,46,53,22.6701,66.0219,6.5632,77.2477,chilli
29,17,6,18.3726,93.32,7.3372,102.6705,orange
156,35,46,18.9365,79.331,5.2023,210.0429,tea
96,32,106,23.1735,83.5085,5.8063,268.9627,ginger
27,64,25,26.7485,62.6237,6.6157,42.7091,lentil
59,42,111,24.7611,68.627,5.58,95.2855,sweetpotato
92,49,64,21.3281,78.2362,6.1863,67.3753,tomato
56,48,130,26.8774,67.5953,5.6583,90.1422,sweetpotato
34,58,58,29.4804,78.7988,6.6664,78.1666,soybeans
114,40,129,19.0671,79.6932,5.4652,76.7904,potato
69,40,103,25.6025,76.5451,6.2905,186.6911,turmeric
17,120,205,23.1566,91.8129,6.3385,122.9396,apple
27,14,9,23.6984,94.6367,7.5736,117.9396,orange
24,42,49,28.553,51.523,6.7695,79.4203,groundnut
46,43,26,28.9362,46.621,6.8864,24.6869,cumin
41,34,24,20.2225,54.5232,6.5573,44.4939,mustard
27,23,44,21.2008,85.4273,6.5074,108.45,pomegranate
75,38,39,24.2521,86.8234,5.7507,215.3513,rice
64,35,49,33.8803,85.5397,5.6146,261.2887,rubber
83,45,65,26.2264,66.0069,6.9873,98.7697,chilli
27,46,15,24.0643,48.2636,8.2685,32.4414,mothbeans
88,47,60,19.2047,79.8369,6.2299,60.1869,cabbage
31,125,205,33.194,84.8852,5.9058,67.3964,grapes
30,16,31,29.1833,95.0373,5.5882,178.5416,coconut
46,50,49,12.9218,55.4903,6.826,54.9319,barley
110,30,32,26.7205,52.4248,6.7255,155.4256,coffee
49,47,54,40.7892,93.4742,6.6832,244.0881,papaya
129,47,45,24.9638,80.1062,7.0722,83.4026,cotton
63,59,65,13.0022,55.6156,6.3572,54.5093,garlic
31,46,54,35.9099,93.5072,6.6462,246.0059,papaya
84,35,40,20.5095,82.9453,6.2653,205.4527,rice
95,68,60,19.8364,82.8724,6.5387,67.7936,cauliflower
23,15,25,25.6665,95.1159,6.2383,155.1579,coconut
27,23,42,24.2807,92.3924,6.6141,100.1609,pomegranate
62,50,40,23.7832,51.6307,6.1702,92.7302,wheat
77,30,94,24.9944,84.5019,6.3625,175.2317,ginger
47,32,122,20.8978,62.8185,6.0911,80.4728,sweetpotato
28,49,40,28.9356,55.5032,6.6156,71.2438,groundnut
89,20,51,24.8642,81.5067,6.0019,49.9482,watermelon
47,28,26,27.8947,50.5588,5.5061,43.928,sesame
24,46,22,29.3232,59.0867,3.8463,40.171,mothbeans
90,48,56,29.99,87.369,4.6967,239.8661,rubber
120,26,52,29.3394,77.295,6.264,227.5942,pepper
15,45,39,28.0042,50.9789,6.4124,80.9389,groundnut
80,52,66,17.9915,80.5172,6.324,55.1725,cabbage
75,33,67,26.9389,89.7921,5.6672,230.1627,rubber
64,63,74,17.5537,72.5391,6.4731,67.3778,onion
83,43,38,23.2266,86.3057,6.8312,195.0233,jute
32,25,34,28.8107,57.8163,5.6987,51.7836,millets
101,38,136,24.3886,69.0522,6.4688,101.6363,tobacco
87,14,50,26.1448,88.0008,6.1178,41.7038,watermelon
42,45,26,24.5866,54.1897,7.1972,50.6175,mustard
63,50,48,31.0006,80.0015,5.4114,289.9151,rubber
19,45,22,25.6177,47.3546,6.6606,49.672,mothbeans
31,33,28,25.9703,55.0831,6.837,54.3925,sesame
11,60,22,25.0124,63.0285,6.5543,35.7571,lentil
26,64,25,18.2818,65.0192,6.7107,43.9009,lentil
94,50,53,24.9938,66.5331,6.3808,63.3091,chilli
88,56,72,22.9846,67.7074,6.4414,64.4972,tomato
10,63,15,17.4028,64.3462,6.4082,52.8152,lentil
78,54,69,17.7045,59.9955,6.0301,50.6557,garlic
12,59,19,20.3216,20.0246,5.8374,119.2499,kidneybeans
93,40,61,26.5666,79.5986,6.1573,236.2593,pepper
46,32,22,26.4525,59.3962,6.7418,57.8107,millets
45,39,28,28.7613,63.3524,6.3827,55.7924,sesame
45,34,28,24.877,61.0609,7.2498,31.4063,mustard
85,44,38,23.096,83.4628,6.3826,210.6666,rice
40,20,29,27.5172,47.4707,6.8542,53.8279,millets
124,43,43,23.4168,75.4106,6.2777,81.7722,cotton
24,48,36,23.9472,62.8004,6.402,71.7158,groundnut
40,38,39,30.4306,49.0741,5.571,63.7457,sorghum
119,43,103,26.4065,60.221,6.2701,94.2882,tobacco
65,40,66,13.7176,64.5153,6.3941,58.9357,garlic
10,25,30,28.5256,96.4248,5.1237,166.7835,coconut
21,65,21,24.6345,46.5734,6.2827,180.6115,pigeonpeas
94,57,68,26.1682,67.4552,6.6347,63.0792,tomato
127,39,37,25.5062,81.6125,6.797,71.0131,cotton
23,21,35,19.6412,86.3626,6.4144,106.7601,pomegranate
60,38,31,18.1402,59.3995,5.7556,71.6087,maize
139,31,64,22.0324,75.2019,6.4978,217.939,cardamom
40,35,57,16.4643,56.4157,6.235,40.1555,barley
108,16,26,25.9105,50.582,6.8481,177.6459,coffee
90,53,66,25.1386,61.9556,6.1238,91.5933,chilli
12,58,17,24.4356,57.944,4.9153,38.322,mothbeans
86,15,49,28.39,90.2755,6.414,27.2824,muskmelon
11,21,35,35.0086,49.8627,6.723,96.2761,mango
100,39,103,22.5454,84.0822,6.1208,287.3372,ginger
84,52,75,15.3755,75.0901,6.0695,63.8279,cabbage
119,54,66,29.0653,62.1597,6.4694,75.4454,chilli
23,76,23,18.3012,55.2953,6.6824,196.2105,pigeonpeas
20,55,25,28.9761,81.734,7.0169,42.5288,mungbean
74,43,41,26.3228,80.1464,6.2608,215.7583,rice
50,39,36,19.9034,54.2239,7.3773,64.6985,coriander
10,40,19,29.4077,81.8946,6.8751,40.1009,mungbean
63,49,72,21.9218,57.0194,6.9801,54.5007,garlic
62,47,101,25.7455,65.9987,5.5917,78.7497,sweetpotato
26,21,31,33.9451,52.5016,5.4272,97.3465,mango
10,64,19,24.3961,69.6253,6.3651,39.8706,lentil
60,35,28,25.2198,45.5831,5.9531,57.978,sorghum
42,27,24,30.0157,55.0336,6.2141,78.093,sorghum
33,56,23,27.7029,63.7971,7.4368,64.6234,blackgram
49,43,27,33.2702,62.9311,6.1472,62.5957,sorghum
86,36,38,25.6733,81.2579,6.0084,180.2388,jute
127,39,78,20.2547,77.5728,6.1072,224.1466,cardamom
101,31,82,23.0082,81.1598,5.1379,240.9334,cardamom
139,40,86,27.5252,73.2417,6.1828,235.1573,sugarcane
21,125,190,25.1048,84.8403,5.9926,74.8829,grapes
15,55,24,25.1776,47.8589,7.6663,34.1369,mothbeans
69,30,108,29.1549,78.4056,5.5306,173.0553,turmeric
118,35,84,20.8157,75.0194,5.3863,253.1493,cardamom
50,48,45,14.3077,46.9014,6.7677,57.3072,barley
10,64,19,23.0068,20.4957,5.9018,81.1765,kidneybeans
81,67,68,16.1508,84.7549,6.5821,53.5487,cauliflower
116,37,35,25.039,81.8844,7.9164,98.9886,cotton
22,25,30,34.0153,53.6274,6.3039,96.0434,mango
41,48,40,22.0989,53.9256,6.8723,39.9696,mustard
76,65,80,17.4557,65.7969,6.6645,68.7406,onion
88,55,49,22.3742,63.6211,6.3151,62.2673,sunflower
11,58,23,28.1819,56.9827,5.0755,52.9228,mothbeans
48,62,77,17.5361,14.8481,6.8617,32.1143,chickpeas
87,78,50,25.0634,76.3069,6.0947,101.1538,banana
103,28,60,19.5662,83.9848,6.1717,273.1679,cardamom
11,11,36,18.4023,94.4476,5.7186,107.9839,pomegranate
86,39,88,29.2663,87.0624,6.3777,289.0178,ginger
78,38,28,18.1046,69.7017,6.011,72.6072,maize
60,43,108,26.2762,74.9866,5.9016,190.6984,turmeric
85,30,104,26.6689,82.0686,6.2705,237.9434,ginger
77,50,67,24.603,63.0765,6.0023,65.6816,onion
50,36,22,19.3387,68.8786,7.0407,59.8902,coriander
128,35,49,23.5444,86.8205,5.3733,289.5171,tea
84,38,118,23.2797,63.1592,6.3675,91.5674,tobacco
98,47,80,26.8353,89.3946,5.571,293.0637,ginger
42,53,54,33.7818,92.0302,6.6364,240.22,papaya
132,32,79,31.8245,72.7478,5.7488,166.4287,sugarcane
23,58,18,19.646,61.2595,6.3701,52.8616,lentil
40,41,38,21.7776,54.7914,7.4688,56.0621,coriander
54,37,23,26.0678,46.8134,7.0971,63.8199,sorghum
27,32,25,34.4233,51.1913,6.6225,91.3838,mango
34,63,43,15.8949,65.7455,6.5483,60.1682,peas
10,42,19,29.5595,89.0862,6.9203,38.1368,mungbean
11,20,43,23.9394,93.1057,5.9111,107.4661,pomegranate
67,49,55,26.6235,85.7432,5.5576,285.7062,rubber
89,86,54,27.0485,77.0983,5.775,92.4876,banana
92,25,67,25.2143,78.6686,5.0228,267.8393,pepper
46,39,28,34.5861,52.9766,7.4301,41.8405,sorghum
47,41,36,17.4448,50.4752,7.1747,47.2747,mustard
24,140,198,24.5985,84.4128,5.9123,70.4066,grapes
73,55,50,27.6003,59.1233,7.4562,62.2267,sunflower
34,64,84,22.2114,18.6106,7.1663,36.23,chickpeas
27,63,21,24.9837,21.1827,5.5491,64.5691,kidneybeans
99,5,49,27.8497,91.1424,6.5213,20.1175,muskmelon
18,28,32,28.1771,49.7436,6.2811,97.8188,mango
119,37,81,30.7357,79.2544,6.8256,190.8314,sugarcane
154,29,54,29.3835,82.9619,4.7105,239.7617,tea
25,58,25,22.2411,19.1626,5.5749,138.7336,kidneybeans
41,48,48,16.5952,55.5667,6.8438,62.0069,barley
77,40,41,21.0868,84.3594,5.5802,229.3013,rice
122,41,85,33.0088,65.6875,5.769,231.9528,sugarcane
95,76,54,27.5219,80.1736,6.4755,90.9191,banana
30,59,16,23.1179,24.2043,5.7509,136.5166,kidneybeans
28,11,29,28.6039,90.408,5.959,198.3379,coconut
85,51,65,21.7853,73.9576,6.2894,56.6318,onion
117,44,80,16.0718,79.158,6.0713,61.5046,cabbage
57,45,39,21.6889,50.7528,7.3481,33.3686,mustard
11,17,26,28.474,96.2072,5.5438,184.8783,coconut
131,36,68,23.3349,79.6559,5.0454,319.8338,cardamom
23,134,196,23.1704,84.2042,5.7594,71.1068,grapes
10,63,20,19.7447,20.6458,5.9114,123.7171,kidneybeans
77,37,100,25.5142,79.7866,6.8229,178.3046,turmeric
17,130,203,23.6571,90.2205,6.2327,109.1601,apple
80,62,75,20.124,71.4632,6.9171,60.3915,onion
112,57,53,25.5465,65.535,6.3019,79.6643,chilli
75,45,41,31.301,86.7069,5.8598,257.7605,rubber
72,45,27,20.736,55.301,5.9217,75.2594,maize
26,21,42,21.8558,92.7242,6.3691,102.7168,pomegranate
54,41,62,18.7931,50.8947,7.0142,66.4361,barley
11,56,16,17.8425,21.9996,5.9783,62.3397,kidneybeans
76,59,50,27.8578,55.3206,7.1431,66.9039,sunflower
97,36,70,24.8395,85.3225,5.8348,231.8821,pepper
20,57,21,24.1168,60.8742,9.608,41.0422,mothbeans
88,48,66,21.0004,74.6873,6.1155,52.8973,cabbage
20,65,23,24.8095,66.0702,6.8549,43.9962,lentil
86,33,98,23.4269,85.8312,6.469,266.064,ginger
77,49,78,21.2145,64.1806,6.8873,44.519,garlic
12,71,23,18.2199,51.9272,5.074,111.978,pigeonpeas
